name,symbol
Champion REIT,2778.HK
CMC REIT,1503.HK
Fortune REIT,0778.HK
Hui Xian REIT,87001.HK
Link REIT,0823.HK
Prosperity REIT,0808.HK
Regal REIT,1881.HK
SF REIT,2191.HK
Spring REIT,1426.HK
Sunlight REIT,0435.HK
Yuexiu REIT,0405.HK
